name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points
Mohamed_Salah_253,Liverpool,259,MID,22,12,21,1,0,20,0,0,0,0,18
Eden_Hazard_122,Chelsea,238,MID,16,15,12,2,0,35,0,0,0,0,35
Raheem_Sterling_270,Man City,234,MID,17,15,17,3,0,19,0,0,0,0,25
Sadio_Mané_251,Liverpool,231,MID,22,3,19,2,0,21,0,0,0,0,24
Andrew_Robertson_247,Liverpool,213,DEF,0,12,21,4,0,20,0,0,0,0,29
Virgil_van Dijk_246,Liverpool,208,DEF,4,4,20,1,0,22,0,0,0,0,22
Pierre-Emerick_Aubameyang_23,Arsenal,205,FWD,22,7,7,0,0,42,0,1,0,0,32
Sergio_Agüero_280,Man City,201,FWD,21,11,17,4,0,15,0,0,0,0,26
Trent_Alexander-Arnold_245,Liverpool,185,DEF,1,13,16,3,0,14,0,0,0,0,25
Gylfi_Sigurdsson_172,Everton,182,MID,13,6,15,3,0,41,0,3,0,0,20
Ryan_Fraser_40,Bournemouth,181,MID,7,14,9,2,0,64,0,0,0,0,23
Raúl_Jiménez_437,Wolves,181,FWD,13,10,12,4,0,40,0,0,0,0,31
Paul_Pogba_302,Man Utd,179,MID,13,10,8,6,0,43,0,3,0,0,19
Aymeric_Laporte_268,Man City,177,DEF,3,3,18,3,0,21,0,0,0,0,16
Alisson_Ramses Becker_468,Liverpool,176,GK,0,0,21,1,0,22,0,0,0,76,9
Jamie_Vardy_234,Leicester,174,FWD,18,5,11,3,1,36,0,1,0,0,31
Ederson_Santana de Moraes_260,Man City,169,GK,0,1,20,2,0,23,0,0,0,58,6
Callum_Wilson_43,Bournemouth,168,FWD,14,12,9,3,0,47,0,1,0,0,22
Alexandre_Lacazette_22,Arsenal,166,FWD,13,12,6,2,0,31,0,0,0,0,20
Luka_Milivojevic_150,Crystal Palace,166,MID,12,2,12,10,0,53,0,1,0,0,24
David_Luiz Moreira Marinho_116,Chelsea,164,DEF,3,2,16,3,0,36,0,0,0,0,19
Christian_Eriksen_364,Spurs,161,MID,8,12,8,3,0,37,0,0,0,0,15
Marcos_Alonso_115,Chelsea,161,DEF,2,8,14,6,0,28,0,0,0,0,21
Jordan_Pickford_154,Everton,161,GK,0,0,14,1,0,46,0,0,3,94,13
Harry_Kane_372,Spurs,160,FWD,17,6,9,5,0,31,0,0,0,0,24
Roberto_Firmino_257,Liverpool,160,FWD,12,8,19,0,0,15,0,0,0,0,24
Heung-Min_Son_367,Spurs,159,MID,12,8,10,2,1,23,0,0,0,0,17
César_Azpilicueta_113,Chelsea,158,DEF,1,6,16,4,0,39,0,0,0,0,11
Lucas_Digne_484,Everton,158,DEF,4,5,13,5,1,38,1,0,0,0,22
Leroy_Sané_275,Man City,156,MID,10,12,9,1,0,14,0,0,0,0,13
Felipe Anderson_Pereira Gomes_465,West Ham,155,MID,9,6,7,3,0,49,0,0,0,0,18
Bernardo Mota_Veiga de Carvalho e Silva_276,Man City,154,MID,7,8,15,3,0,22,0,0,0,0,17
Neil_Etheridge_88,Cardiff,154,GK,0,0,10,2,0,69,0,0,3,141,18
