Player Name,Team,Total Points,Position,Goals Scored,Assists,Clean Sheets,Yellow Cards,Red Cards,Goals Conceded,Own Goals,Penalties Missed,Penalties Saved,Saves,Bonus Points
Alexis Sánchez,Arsenal,264,MID,24,11,13,6,0,41,0,1,0,0,32
Bamidele Alli,Spurs,225,MID,18,11,17,4,0,22,0,0,0,0,17
Harry Kane,Spurs,224,FWD,29,7,14,3,0,19,0,1,0,0,33
Eden Hazard,Chelsea,224,MID,16,9,17,3,0,29,0,1,0,0,33
Romelu Lukaku,Everton,221,FWD,25,6,13,3,0,42,0,0,0,0,33
Christian Eriksen,Spurs,218,MID,8,20,16,0,0,24,0,0,0,0,30
Kevin De Bruyne,Man City,199,MID,6,21,11,4,0,34,0,1,0,0,33
Diego Da Silva Costa,Chelsea,196,FWD,20,11,14,10,0,30,0,1,0,0,25
Gylfi Sigurdsson,Swansea,181,MID,9,13,7,2,0,70,0,0,0,0,18
Roberto Firmino,Liverpool,180,MID,11,11,11,5,0,39,0,0,0,0,17
Gary Cahill,Chelsea,178,DEF,6,0,17,5,0,29,1,0,0,0,15
Joshua King,Bournemouth,178,MID,16,3,9,1,0,54,0,1,0,0,17
Marcos Alonso,Chelsea,177,DEF,6,5,15,2,0,19,0,0,0,0,11
Sergio Agüero,Man City,175,FWD,20,5,8,4,1,30,0,1,0,0,32
Heung-Min Son,Spurs,174,MID,14,9,10,2,0,18,0,0,0,0,13
Philippe Coutinho,Liverpool,171,MID,13,8,8,2,0,27,0,0,0,0,21
César Azpilicueta,Chelsea,170,DEF,1,5,16,4,0,33,0,0,0,0,22
Mesut Özil,Arsenal,167,MID,8,11,12,2,0,30,0,0,0,0,19
Jermain Defoe,Sunderland,166,FWD,15,3,6,1,0,63,0,0,0,0,24
Zlatan Ibrahimovic,Man Utd,163,FWD,17,7,11,7,0,22,0,1,0,0,28
Pedro Rodríguez Ledesma,Chelsea,162,MID,9,10,15,6,0,15,0,0,0,0,18
Jamie Vardy,Leicester,161,FWD,13,8,7,2,1,57,0,0,0,0,24
Sadio Mané,Liverpool,156,MID,13,7,8,4,0,26,0,0,0,0,14
Raheem Sterling,Man City,149,MID,7,14,9,7,0,27,0,0,0,0,11
Wilfried Zaha,Crystal Palace,149,MID,7,11,7,8,0,56,0,0,0,0,13
Tom Heaton,Burnley,149,GK,0,0,10,1,0,48,0,0,1,142,21
Georginio Wijnaldum,Liverpool,149,MID,6,9,11,2,0,37,0,0,0,0,14
Fernando Llorente,Swansea,146,FWD,15,3,5,2,0,51,0,0,0,0,22
Ross Barkley,Everton,144,MID,5,11,12,5,0,36,0,0,0,0,11
Hugo Lloris,Spurs,143,GK,0,0,15,0,0,24,0,0,0,78,6
Kyle Walker,Spurs,142,DEF,0,6,14,8,0,21,0,0,0,0,18
Thibaut Courtois,Chelsea,141,GK,0,0,16,1,0,28,0,0,0,69,0
James Milner,Liverpool,139,MID,7,4,12,5,0,35,0,1,0,0,16
Adam Lallana,Liverpool,139,MID,8,7,9,3,0,32,0,0,0,0,14
David de Gea,Man Utd,136,GK,0,0,14,2,0,29,0,0,0,74,5
Christian Benteke,Crystal Palace,136,FWD,15,2,7,10,0,58,0,2,0,0,13
Leighton Baines,Everton,135,DEF,2,5,11,4,0,34,0,1,0,0,15
