name,team,total_points,position,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points
Kevin_De Bruyne_215,Man City,251,MID,13,23,18,3,0,22,0,0,0,0,35
Mohamed_Salah_191,Liverpool,233,MID,19,10,16,1,0,26,0,0,0,0,26
Sadio_ManÃ©_192,Liverpool,221,MID,18,10,12,3,0,28,0,0,0,0,27
Trent_Alexander-Arnold_182,Liverpool,210,DEF,4,15,14,5,0,32,0,0,0,0,24
Jamie_Vardy_166,Leicester,210,FWD,23,7,11,3,0,38,0,1,0,0,34
Pierre-Emerick_Aubameyang_11,Arsenal,205,FWD,22,5,10,3,1,44,0,0,0,0,37
Raheem_Sterling_214,Man City,204,MID,20,6,13,5,0,31,0,2,0,0,20
Anthony_Martial_239,Man Utd,200,MID,17,9,14,1,0,27,0,1,0,0,14
Danny_Ings_313,Southampton,198,FWD,22,2,6,3,0,44,0,1,0,0,40
RaÃºl_JimÃ©nez_409,Wolves,194,FWD,17,7,15,3,0,36,0,0,0,0,33
Andrew_Robertson_181,Liverpool,181,DEF,2,12,13,2,0,31,0,0,0,0,20
Virgil_van Dijk_183,Liverpool,178,DEF,5,2,15,1,0,33,0,0,0,0,14
Marcus_Rashford_233,Man Utd,177,FWD,17,8,9,3,0,29,0,2,0,0,31
Riyad_Mahrez_217,Man City,175,MID,11,14,10,0,0,15,0,0,0,0,17
Nick_Pope_93,Burnley,170,GK,0,0,15,1,0,50,0,0,1,120,23
Heung-Min_Son_342,Spurs,169,MID,11,13,7,0,2,32,0,1,0,0,18
Willian_Borges Da Silva_113,Chelsea,168,MID,9,9,10,4,0,35,0,0,0,0,26
Matt_Doherty_401,Wolves,167,DEF,4,8,12,1,0,31,0,0,0,0,15
Richarlison_de Andrade_150,Everton,165,MID,13,5,9,8,0,51,0,0,0,0,13
Dean_Henderson_471,Sheffield Utd,160,GK,0,1,13,2,0,33,0,0,1,97,16
Harry_Kane_338,Spurs,158,FWD,18,2,6,4,0,36,0,0,0,0,26
Kasper_Schmeichel_168,Leicester,156,GK,0,0,13,2,0,41,0,0,2,97,10
Roberto_Firmino_187,Liverpool,155,FWD,9,9,16,0,0,26,0,0,0,0,20
Tammy_Abraham_460,Chelsea,153,FWD,15,6,7,2,0,34,1,0,0,0,20
Rui Pedro_dos Santos PatrÃ­cio_411,Wolves,153,GK,0,0,13,0,0,40,0,0,2,90,8
Jack_Grealish_29,Aston Villa,149,MID,8,7,7,8,0,63,0,1,0,0,19
Gabriel Fernando_de Jesus_211,Man City,146,FWD,14,8,12,3,0,14,0,1,0,0,17
John_Lundstram_297,Sheffield Utd,144,DEF,5,4,10,5,0,29,0,0,0,0,15
