Pos,Team,Points,Actual Pos,Difference,GK Points,DEF Points,MID Points,FWD Points,Goals Scored,Assists,Clean Sheets,Yellow Cards,Red Cards,Goals Conceded,Own Goals,Penalties Missed,Penalties Saved,Saves,Bonus Points
1,Man City,2244,1, ,168,579,1200,297,103,100,196,59,2,295,2,2,2,62,211
2,Liverpool,2072,4,⬆️ +2,155,763,916,238,80,68,193,44,1,440,0,1,2,67,169
3,Man Utd,2012,2,⬇️ -1,179,614,948,271,73,62,208,66,1,325,2,2,0,118,164
4,Spurs,1930,3,⬇️ -1,156,658,876,240,70,63,182,50,2,396,1,1,0,94,164
5,Chelsea,1906,5, ,147,843,692,224,64,52,179,43,4,424,2,0,0,84,155
6,Arsenal,1745,6, ,143,649,655,298,63,68,148,55,2,533,0,1,1,99,140
7,Burnley,1514,7, ,160,495,590,269,35,34,139,65,0,443,1,0,1,121,112
8,Newcastle,1472,10,⬆️ +2,143,465,542,322,39,37,106,52,2,520,3,1,2,105,106
9,Leicester,1450,9, ,136,384,596,334,51,48,97,51,5,644,2,1,2,107,123
10,Crystal Palace,1448,11,⬆️ +1,135,496,724,93,44,42,103,72,0,605,2,2,0,121,108
11,Everton,1432,8,⬇️ -3,145,485,453,349,42,36,106,51,3,626,0,3,1,121,115
12,Swansea,1416,18,⬆️ +6,157,477,539,243,31,27,102,54,1,653,2,1,3,137,97
13,West Ham,1414,13, ,131,514,613,156,45,40,111,71,2,723,1,1,1,123,104
14,Brighton,1398,15,⬆️ +1,146,412,648,192,33,30,116,54,2,595,5,2,2,124,106
15,Watford,1367,14,⬇️ -1,111,454,622,180,42,39,101,63,4,704,1,3,0,95,88
16,Bournemouth,1355,12,⬇️ -4,112,395,516,332,45,40,70,55,1,671,1,0,1,111,102
17,West Brom,1351,20,⬆️ +3,124,443,508,276,33,31,123,73,1,619,2,0,0,101,81
18,Southampton,1350,17,⬇️ -1,125,441,577,207,36,32,95,63,2,598,0,0,1,111,90
19,Huddersfield,1292,16,⬇️ -3,135,444,483,230,25,25,106,59,3,636,1,0,2,103,91
20,Stoke,1270,19,⬇️ -1,130,355,588,197,34,33,74,62,1,748,2,3,0,153,92
